停用词,来源,总词频,文档频率,文档占比,去除原因
以免,外部中文停用词表,2,2,0.0002,通用停用词
以期,外部中文停用词表,2,2,0.0002,通用停用词
具体来说,外部中文停用词表,2,2,0.0002,通用停用词
十八,外部中文停用词表,2,2,0.0002,通用停用词
单单,外部中文停用词表,2,2,0.0002,通用停用词
向着,外部中文停用词表,2,2,0.0002,通用停用词
大约,外部中文停用词表,2,2,0.0002,通用停用词
如上所述,外部中文停用词表,2,2,0.0002,通用停用词
如同,外部中文停用词表,2,2,0.0002,通用停用词
将要,外部中文停用词表,2,2,0.0002,通用停用词
尽量,外部中文停用词表,2,2,0.0002,通用停用词
并非,外部中文停用词表,2,2,0.0002,通用停用词
当时,外部中文停用词表,2,2,0.0002,通用停用词
必将,外部中文停用词表,2,2,0.0002,通用停用词
总结,外部中文停用词表,2,2,0.0002,通用停用词
恰好,外部中文停用词表,2,2,0.0002,通用停用词
接下来,外部中文停用词表,2,2,0.0002,通用停用词
有时,外部中文停用词表,2,2,0.0002,通用停用词
正在,外部中文停用词表,2,2,0.0002,通用停用词
每当,外部中文停用词表,2,2,0.0002,通用停用词
由此可见,外部中文停用词表,2,2,0.0002,通用停用词
第一节,外部中文停用词表,2,2,0.0002,通用停用词
等到,外部中文停用词表,2,2,0.0002,通用停用词
许多,外部中文停用词表,2,2,0.0002,通用停用词
较之,外部中文停用词表,2,2,0.0002,通用停用词
这是,外部中文停用词表,2,2,0.0002,通用停用词
除此之外,外部中文停用词表,2,2,0.0002,通用停用词
呼啦,外部中文停用词表,5,1,0.0001,通用停用词
大力,外部中文停用词表,4,1,0.0001,通用停用词
转贴,外部中文停用词表,3,1,0.0001,通用停用词
一时,外部中文停用词表,2,1,0.0001,通用停用词
什么,外部中文停用词表,2,1,0.0001,通用停用词
大体,外部中文停用词表,2,1,0.0001,通用停用词
大家,外部中文停用词表,2,1,0.0001,通用停用词
要么,外部中文停用词表,2,1,0.0001,通用停用词
近年来,外部中文停用词表,2,1,0.0001,通用停用词
一天,外部中文停用词表,1,1,0.0001,通用停用词
一来,外部中文停用词表,1,1,0.0001,通用停用词
万一,外部中文停用词表,1,1,0.0001,通用停用词
万吨,外部中文停用词表,1,1,0.0001,通用停用词
上来,外部中文停用词表,1,1,0.0001,通用停用词
不了,外部中文停用词表,1,1,0.0001,通用停用词
不定,外部中文停用词表,1,1,0.0001,通用停用词
不满,外部中文停用词表,1,1,0.0001,通用停用词
不要,外部中文停用词表,1,1,0.0001,通用停用词
不论,外部中文停用词表,1,1,0.0001,通用停用词
不限,外部中文停用词表,1,1,0.0001,通用停用词
中小,外部中文停用词表,1,1,0.0001,通用停用词
为止,外部中文停用词表,1,1,0.0001,通用停用词
于是,外部中文停用词表,1,1,0.0001,通用停用词
从小,外部中文停用词表,1,1,0.0001,通用停用词
他人,外部中文停用词表,1,1,0.0001,通用停用词
以致,外部中文停用词表,1,1,0.0001,通用停用词
似的,外部中文停用词表,1,1,0.0001,通用停用词
保管,外部中文停用词表,1,1,0.0001,通用停用词
假如,外部中文停用词表,1,1,0.0001,通用停用词
先生,外部中文停用词表,1,1,0.0001,通用停用词
全体,外部中文停用词表,1,1,0.0001,通用停用词
其二,外部中文停用词表,1,1,0.0001,通用停用词
其后,外部中文停用词表,1,1,0.0001,通用停用词
其实,外部中文停用词表,1,1,0.0001,通用停用词
凭借,外部中文停用词表,1,1,0.0001,通用停用词
到处,外部中文停用词表,1,1,0.0001,通用停用词
加之,外部中文停用词表,1,1,0.0001,通用停用词
反过来,外部中文停用词表,1,1,0.0001,通用停用词
可是,外部中文停用词表,1,1,0.0001,通用停用词
各地,外部中文停用词表,1,1,0.0001,通用停用词
哪些,外部中文停用词表,1,1,0.0001,通用停用词
大致,外部中文停用词表,1,1,0.0001,通用停用词
如若,外部中文停用词表,1,1,0.0001,通用停用词
将近,外部中文停用词表,1,1,0.0001,通用停用词
尽早,外部中文停用词表,1,1,0.0001,通用停用词
强调,外部中文停用词表,1,1,0.0001,通用停用词
当场,外部中文停用词表,1,1,0.0001,通用停用词
总之,外部中文停用词表,1,1,0.0001,通用停用词
总的来说,外部中文停用词表,1,1,0.0001,通用停用词
成年,外部中文停用词表,1,1,0.0001,通用停用词
截至,外部中文停用词表,1,1,0.0001,通用停用词
所谓,外部中文停用词表,1,1,0.0001,通用停用词
抑或,外部中文停用词表,1,1,0.0001,通用停用词
按时,外部中文停用词表,1,1,0.0001,通用停用词
按期,外部中文停用词表,1,1,0.0001,通用停用词
挨着,外部中文停用词表,1,1,0.0001,通用停用词
故意,外部中文停用词表,1,1,0.0001,通用停用词
日渐,外部中文停用词表,1,1,0.0001,通用停用词
有些,外部中文停用词表,1,1,0.0001,通用停用词
本人,外部中文停用词表,1,1,0.0001,通用停用词
来不及,外部中文停用词表,1,1,0.0001,通用停用词
来看,外部中文停用词表,1,1,0.0001,通用停用词
来讲,外部中文停用词表,1,1,0.0001,通用停用词
欢迎,外部中文停用词表,1,1,0.0001,通用停用词
此后,外部中文停用词表,1,1,0.0001,通用停用词
此次,外部中文停用词表,1,1,0.0001,通用停用词
此间,外部中文停用词表,1,1,0.0001,通用停用词
然而,外部中文停用词表,1,1,0.0001,通用停用词
独自,外部中文停用词表,1,1,0.0001,通用停用词
的话,外部中文停用词表,1,1,0.0001,通用停用词
相信,外部中文停用词表,1,1,0.0001,通用停用词
看起来,外部中文停用词表,1,1,0.0001,通用停用词
竟然,外部中文停用词表,1,1,0.0001,通用停用词
等等,外部中文停用词表,1,1,0.0001,通用停用词
认为,外部中文停用词表,1,1,0.0001,通用停用词
进来,外部中文停用词表,1,1,0.0001,通用停用词
进步,外部中文停用词表,1,1,0.0001,通用停用词
遵循,外部中文停用词表,1,1,0.0001,通用停用词
那个,外部中文停用词表,1,1,0.0001,通用停用词
那样,外部中文停用词表,1,1,0.0001,通用停用词
长期以来,外部中文停用词表,1,1,0.0001,通用停用词
长线,外部中文停用词表,1,1,0.0001,通用停用词
除外,外部中文停用词表,1,1,0.0001,通用停用词
高兴,外部中文停用词表,1,1,0.0001,通用停用词
